date,precipitation
1995-01-01,3.677329
1995-01-02,2.836832
1995-01-03,7.718651
1995-01-04,0.355314
1995-01-05,0.004885
1995-01-06,0.655096
1995-01-07,11.568919
1995-01-08,0.578079
1995-01-09,3.433980
1995-01-10,4.665033
1995-01-11,2.618174
1995-01-12,0.159777
1995-01-13,0.530097
1995-01-14,0.461321
1995-01-15,0.220643
1995-01-16,0.067245
1995-01-17,0.980034
1995-01-18,0.608173
1995-01-19,1.219122
1995-01-20,0.084991
1995-01-21,1.919981
1995-01-22,1.120570
1995-01-23,0.493530
1995-01-24,0.243112
1995-01-25,1.990087
1995-01-26,11.030401
1995-01-27,0.335736
1995-01-28,4.339691
1995-01-29,1.302236
1995-01-30,0.332180
1995-01-31,0.013322
1995-02-01,0.004219
1995-02-02,2.849314
1995-02-03,1.440217
1995-02-04,0.530788
1995-02-05,1.599425
1995-02-06,2.541628
1995-02-07,1.747828
1995-02-08,3.801994
1995-02-09,8.251898
1995-02-10,0.000001
1995-02-11,4.227428
1995-02-12,0.811910
1995-02-13,3.524543
1995-02-14,0.139635
1995-02-15,1.174818
1995-02-16,0.895741
1995-02-17,3.137298
1995-02-18,3.889140
1995-02-19,1.949029
1995-02-20,2.467563
1995-02-21,0.611982
1995-02-22,6.414817
1995-02-23,0.025944
1995-02-24,0.252995
1995-02-25,0.155155
1995-02-26,0.220565
1995-02-27,0.288502
1995-02-28,3.302157
1995-03-01,0.020636
1995-03-02,0.451995
1995-03-03,0.445806
1995-03-04,5.552076
1995-03-05,2.570498
1995-03-06,2.968415
1995-03-07,5.449950
1995-03-08,0.130256
1995-03-09,0.000690
1995-03-10,12.151573
1995-03-11,6.449706
1995-03-12,0.943111
1995-03-13,1.123020
1995-03-14,2.037576
1995-03-15,0.098953
1995-03-16,4.169495
1995-03-17,0.037899
1995-03-18,0.027154
1995-03-19,0.075738
1995-03-20,0.697809
1995-03-21,6.021990
1995-03-22,2.320686
1995-03-23,0.208552
1995-03-24,1.378276
1995-03-25,0.325314
1995-03-26,6.496974
1995-03-27,1.636721
1995-03-28,5.302723
1995-03-29,2.790976
1995-03-30,3.153564
1995-03-31,0.044118
1995-04-01,0.079303
1995-04-02,0.642833
1995-04-03,3.717892
1995-04-04,0.246728
1995-04-05,0.000070
1995-04-06,0.461108
1995-04-07,1.205180
1995-04-08,3.898486
1995-04-09,1.983823
1995-04-10,0.337948
1995-04-11,8.529996
1995-04-12,0.034769
1995-04-13,5.353299
1995-04-14,0.055020
1995-04-15,13.163591
1995-04-16,0.002204
1995-04-17,1.751683
1995-04-18,1.378764
1995-04-19,9.513501
1995-04-20,0.624375
1995-04-21,0.531673
1995-04-22,0.009123
1995-04-23,1.802254
1995-04-24,0.116996
1995-04-25,0.107795
1995-04-26,2.560499
1995-04-27,4.140146
1995-04-28,3.739096
1995-04-29,0.579167
1995-04-30,0.283391
1995-05-01,0.000032
1995-05-02,1.453099
1995-05-03,1.744904
1995-05-04,0.782908
1995-05-05,1.866906
1995-05-06,1.484133
1995-05-07,0.003435
1995-05-08,9.384168
1995-05-09,0.412104
1995-05-10,0.855685
1995-05-11,0.614105
1995-05-12,1.289968
1995-05-13,3.549960
1995-05-14,2.582645
1995-05-15,3.156849
1995-05-16,0.028931
1995-05-17,0.018787
1995-05-18,1.048024
1995-05-19,0.120558
1995-05-20,0.577113
1995-05-21,2.779767
1995-05-22,0.090121
1995-05-23,2.285248
1995-05-24,1.199544
1995-05-25,5.879545
1995-05-26,3.368241
1995-05-27,0.177282
1995-05-28,3.563279
1995-05-29,1.009692
1995-05-30,5.120309
1995-05-31,1.730195
1995-06-01,0.487252
1995-06-02,2.040796
1995-06-03,3.739317
1995-06-04,0.256292
1995-06-05,0.631788
1995-06-06,0.802369
1995-06-07,0.052543
1995-06-08,0.600604
1995-06-09,0.050629
1995-06-10,0.785581
1995-06-11,0.580469
1995-06-12,0.340917
1995-06-13,0.374978
1995-06-14,4.010905
1995-06-15,0.003992
1995-06-16,0.063427
1995-06-17,0.224239
1995-06-18,0.664214
1995-06-19,0.738603
1995-06-20,0.000536
1995-06-21,2.536271
1995-06-22,0.740453
1995-06-23,0.002526
1995-06-24,2.147893
1995-06-25,2.421650
1995-06-26,1.408040
1995-06-27,4.690041
1995-06-28,0.411350
1995-06-29,0.975025
1995-06-30,4.841302
1995-07-01,0.061839
1995-07-02,0.080998
1995-07-03,0.240142
1995-07-04,1.295649
1995-07-05,0.659605
1995-07-06,2.435322
1995-07-07,1.378557
1995-07-08,0.858194
1995-07-09,1.915022
1995-07-10,4.075798
1995-07-11,0.192460
1995-07-12,1.471836
1995-07-13,0.179307
1995-07-14,0.846753
1995-07-15,1.291211
1995-07-16,12.084207
1995-07-17,5.268350
1995-07-18,0.181268
1995-07-19,0.251550
1995-07-20,0.147173
1995-07-21,0.480800
1995-07-22,0.408605
1995-07-23,0.030458
1995-07-24,0.007856
1995-07-25,0.150500
1995-07-26,6.332011
1995-07-27,0.039783
1995-07-28,0.258048
1995-07-29,0.403098
1995-07-30,1.217357
1995-07-31,0.686487
1995-08-01,0.469959
1995-08-02,0.014819
1995-08-03,1.564301
1995-08-04,0.687886
1995-08-05,0.045163
1995-08-06,0.047569
1995-08-07,2.019572
1995-08-08,0.460750
1995-08-09,6.955317
1995-08-10,1.649970
1995-08-11,4.930205
1995-08-12,0.201435
1995-08-13,0.062939
1995-08-14,0.402664
1995-08-15,1.706865
1995-08-16,1.226117
1995-08-17,0.433127
1995-08-18,0.082210
1995-08-19,4.522157
1995-08-20,0.316274
1995-08-21,1.345223
1995-08-22,3.514978
1995-08-23,0.779591
1995-08-24,0.883963
1995-08-25,1.344363
1995-08-26,4.498662
1995-08-27,3.234793
1995-08-28,1.286243
1995-08-29,3.162607
1995-08-30,1.378689
1995-08-31,0.022990
1995-09-01,6.340627
1995-09-02,1.252296
1995-09-03,7.215703
1995-09-04,0.119079
1995-09-05,0.605612
1995-09-06,0.050991
1995-09-07,0.674992
1995-09-08,0.352639
1995-09-09,0.767594
1995-09-10,1.066969
1995-09-11,0.029071
1995-09-12,3.100791
1995-09-13,2.913792
1995-09-14,6.467887
1995-09-15,1.039193
1995-09-16,0.023532
1995-09-17,3.587810
1995-09-18,0.160279
1995-09-19,8.022057
1995-09-20,0.028283
1995-09-21,0.642263
1995-09-22,2.241872
1995-09-23,0.109293
1995-09-24,0.668091
1995-09-25,1.553270
1995-09-26,0.198088
1995-09-27,3.442175
1995-09-28,1.637621
1995-09-29,0.975538
1995-09-30,3.590824
1995-10-01,3.426907
1995-10-02,1.139264
1995-10-03,4.959241
1995-10-04,0.092386
1995-10-05,2.687959
1995-10-06,0.001151
1995-10-07,13.664875
1995-10-08,0.044112
1995-10-09,0.605789
1995-10-10,0.015591
1995-10-11,0.271579
1995-10-12,2.114070
1995-10-13,0.501241
1995-10-14,0.590870
1995-10-15,0.043768
1995-10-16,0.000487
1995-10-17,2.956129
1995-10-18,0.327269
1995-10-19,0.945895
1995-10-20,0.251386
1995-10-21,1.198589
1995-10-22,12.638036
1995-10-23,2.890776
1995-10-24,1.093485
1995-10-25,0.004124
1995-10-26,0.178496
1995-10-27,0.687743
1995-10-28,5.291292
1995-10-29,3.762213
1995-10-30,0.489866
1995-10-31,0.159485
1995-11-01,0.178258
1995-11-02,0.287452
1995-11-03,2.781702
1995-11-04,2.981170
1995-11-05,11.866691
1995-11-06,2.166790
1995-11-07,15.443891
1995-11-08,1.775761
1995-11-09,7.688839
1995-11-10,2.331624
1995-11-11,3.684269
1995-11-12,0.010194
1995-11-13,0.177069
1995-11-14,0.007618
1995-11-15,2.796329
1995-11-16,9.165646
1995-11-17,4.042209
1995-11-18,2.467992
1995-11-19,5.705515
1995-11-20,0.079321
1995-11-21,0.014685
1995-11-22,0.005319
1995-11-23,3.604212
1995-11-24,1.185352
1995-11-25,2.317121
1995-11-26,0.133184
1995-11-27,0.439847
1995-11-28,0.000514
1995-11-29,0.580277
1995-11-30,5.770524
1995-12-01,0.365055
1995-12-02,1.929268
1995-12-03,4.577789
1995-12-04,0.204210
1995-12-05,0.011390
1995-12-06,0.567655
1995-12-07,0.012074
1995-12-08,0.256395
1995-12-09,2.595526
1995-12-10,0.016379
1995-12-11,1.015414
1995-12-12,0.014995
1995-12-13,0.478745
1995-12-14,0.007588
1995-12-15,3.187718
1995-12-16,1.863992
1995-12-17,1.369189
1995-12-18,0.037551
1995-12-19,1.124396
1995-12-20,0.040133
1995-12-21,0.134410
1995-12-22,0.090081
1995-12-23,1.382777
1995-12-24,0.030038
1995-12-25,0.115020
1995-12-26,3.088976
1995-12-27,1.162536
1995-12-28,3.046631
1995-12-29,2.185068
1995-12-30,0.777938
1995-12-31,0.162846
1996-01-01,0.692758
1996-01-02,5.440423
1996-01-03,0.000742
1996-01-04,3.009880
1996-01-05,0.757444
1996-01-06,0.000359
1996-01-07,0.033473
1996-01-08,0.004317
1996-01-09,0.262597
1996-01-10,2.952321
1996-01-11,0.002875
1996-01-12,1.242826
1996-01-13,0.525526
1996-01-14,0.353172
1996-01-15,0.228603
1996-01-16,0.957086
1996-01-17,1.298352
1996-01-18,0.477529
1996-01-19,0.789798
1996-01-20,3.816320
1996-01-21,2.389764
1996-01-22,11.339846
1996-01-23,0.003347
1996-01-24,0.917591
1996-01-25,0.441421
1996-01-26,0.000852
1996-01-27,10.788318
1996-01-28,0.052148
1996-01-29,0.678302
1996-01-30,0.277739
1996-01-31,2.290616
1996-02-01,2.300314
1996-02-02,1.858675
1996-02-03,0.369850
1996-02-04,4.240122
1996-02-05,0.170275
1996-02-06,0.717785
1996-02-07,0.848776
1996-02-08,1.972981
1996-02-09,0.235387
1996-02-10,0.519870
1996-02-11,0.803600
1996-02-12,7.329386
1996-02-13,7.005287
1996-02-14,0.291924
1996-02-15,5.960353
1996-02-16,0.995272
1996-02-17,1.272902
1996-02-18,4.880112
1996-02-19,1.266058
1996-02-20,0.879800
1996-02-21,1.999355
1996-02-22,1.524581
1996-02-23,2.273473
1996-02-24,0.007635
1996-02-25,0.299054
1996-02-26,0.608209
1996-02-27,2.607370
1996-02-28,4.157372
1996-02-29,3.194330
1996-03-01,2.125881
1996-03-02,4.002271
1996-03-03,0.221422
1996-03-04,0.445807
1996-03-05,0.392140
1996-03-06,1.187128
1996-03-07,5.276122
1996-03-08,6.469627
1996-03-09,0.047983
1996-03-10,0.052550
1996-03-11,3.987096
1996-03-12,0.045111
1996-03-13,0.371068
1996-03-14,0.375348
1996-03-15,0.130317
1996-03-16,1.563838
1996-03-17,1.875384
1996-03-18,0.139170
1996-03-19,6.161616
1996-03-20,0.089384
1996-03-21,4.301575
1996-03-22,5.079720
1996-03-23,0.175519
1996-03-24,0.003027
1996-03-25,2.019108
1996-03-26,0.008062
1996-03-27,6.479127
1996-03-28,0.013414
1996-03-29,1.240751
1996-03-30,0.712654
1996-03-31,0.458613
1996-04-01,0.000227
1996-04-02,1.939464
1996-04-03,2.217186
1996-04-04,0.016764
1996-04-05,1.843528
1996-04-06,1.868348
1996-04-07,1.272156
1996-04-08,2.836779
1996-04-09,0.657887
1996-04-10,0.014962
1996-04-11,3.234088
1996-04-12,0.945080
1996-04-13,4.474143
1996-04-14,0.653033
1996-04-15,2.242334
1996-04-16,0.001157
1996-04-17,5.934483
1996-04-18,7.286271
1996-04-19,10.218236
1996-04-20,0.705208
1996-04-21,0.901854
1996-04-22,7.634870
1996-04-23,0.303199
1996-04-24,1.451641
1996-04-25,0.910263
1996-04-26,4.549239
1996-04-27,1.741192
1996-04-28,3.317950
1996-04-29,2.836757
1996-04-30,2.122527
1996-05-01,1.314542
1996-05-02,3.068485
1996-05-03,1.879204
1996-05-04,0.716452
1996-05-05,1.866931
1996-05-06,1.410967
1996-05-07,0.911879
1996-05-08,2.371291
1996-05-09,0.674354
1996-05-10,0.380012
1996-05-11,0.235687
1996-05-12,0.514645
1996-05-13,0.243646
1996-05-14,0.846769
1996-05-15,0.321555
1996-05-16,1.828453
1996-05-17,1.106552
1996-05-18,0.171065
1996-05-19,0.061530
1996-05-20,2.267853
1996-05-21,2.733019
1996-05-22,1.948425
1996-05-23,0.090648
1996-05-24,0.079833
1996-05-25,0.005043
1996-05-26,0.914729
1996-05-27,0.008720
1996-05-28,3.711350
1996-05-29,0.791982
1996-05-30,2.165209
1996-05-31,0.221610
1996-06-01,1.904167
1996-06-02,0.535349
1996-06-03,0.020480
1996-06-04,0.691944
1996-06-05,2.333814
1996-06-06,0.129829
1996-06-07,2.357112
1996-06-08,1.964091
1996-06-09,8.202999
1996-06-10,4.422947
1996-06-11,1.637484
1996-06-12,1.564889
1996-06-13,2.187743
1996-06-14,0.366285
1996-06-15,0.945111
1996-06-16,1.621100
1996-06-17,0.055721
1996-06-18,0.274444
1996-06-19,0.333281
1996-06-20,0.580360
1996-06-21,0.269737
1996-06-22,0.241594
1996-06-23,0.034509
1996-06-24,0.623559
1996-06-25,0.063377
1996-06-26,6.808786
1996-06-27,0.490752
1996-06-28,4.195398
1996-06-29,5.231577
1996-06-30,2.402886
1996-07-01,0.484673
1996-07-02,1.062642
1996-07-03,2.664628
1996-07-04,0.535269
1996-07-05,3.339455
1996-07-06,0.574319
1996-07-07,9.110282
1996-07-08,11.399962
1996-07-09,4.193919
1996-07-10,0.585237
1996-07-11,0.049337
1996-07-12,3.795907
1996-07-13,0.320021
1996-07-14,1.739110
1996-07-15,0.866899
