# x,y,z,distance
-2.400000,-0.500000,-0.700000,0.500000
-2.400000,-0.500000,0.000000,0.020000
-2.400000,-0.500000,0.700000,0.020000
-2.400000,0.000000,-0.700000,0.520000
-2.400000,0.000000,0.000000,-0.180000
-2.400000,0.000000,0.700000,-0.254983
-2.400000,0.500000,-0.700000,0.520000
-2.400000,0.500000,0.000000,-0.000000
-2.400000,0.500000,0.700000,-0.065685
-2.400000,1.000000,-0.700000,0.552456
-2.400000,1.000000,0.000000,0.120000
-2.400000,1.000000,0.700000,0.120000
-1.600000,-0.500000,-0.700000,0.500000
-1.600000,-0.500000,0.000000,0.020000
-1.600000,-0.500000,0.700000,0.020000
-1.600000,0.000000,-0.700000,0.453278
-1.600000,0.000000,0.000000,-0.180000
-1.600000,0.000000,0.700000,-0.254983
-1.600000,0.500000,-0.700000,0.520000
-1.600000,0.500000,0.000000,0.000000
-1.600000,0.500000,0.700000,-0.065685
-1.600000,1.000000,-0.700000,0.552456
-1.600000,1.000000,0.000000,0.120000
-1.600000,1.000000,0.700000,0.120000
-0.800000,-0.500000,-0.700000,0.210943
-0.800000,-0.500000,0.000000,0.209288
-0.800000,-0.500000,0.700000,0.210943
-0.800000,0.000000,-0.700000,-0.216227
-0.800000,0.000000,0.000000,-0.142311
-0.800000,0.000000,0.700000,-0.216227
-0.800000,0.500000,-0.700000,0.065092
-0.800000,0.500000,0.000000,-0.010824
-0.800000,0.500000,0.700000,0.065092
-0.800000,1.000000,-0.700000,0.341760
-0.800000,1.000000,0.000000,0.208598
-0.800000,1.000000,0.700000,0.341760
0.000000,-0.500000,-0.700000,0.231435
0.000000,-0.500000,0.000000,0.500000
0.000000,-0.500000,0.700000,0.231435
0.000000,0.000000,-0.700000,-0.087178
0.000000,0.000000,0.000000,0.185937
0.000000,0.000000,0.700000,-0.087178
0.000000,0.500000,-0.700000,-0.028626
0.000000,0.500000,0.000000,-0.122668
0.000000,0.500000,0.700000,-0.028626
0.000000,1.000000,-0.700000,0.158978
0.000000,1.000000,0.000000,-0.162762
0.000000,1.000000,0.700000,0.158978
0.800000,-0.500000,-0.700000,0.210943
0.800000,-0.500000,0.000000,0.209288
0.800000,-0.500000,0.700000,0.210943
0.800000,0.000000,-0.700000,-0.216227
0.800000,0.000000,0.000000,-0.142311
0.800000,0.000000,0.700000,-0.216227
0.800000,0.500000,-0.700000,0.065092
0.800000,0.500000,0.000000,-0.010824
0.800000,0.500000,0.700000,0.065092
0.800000,1.000000,-0.700000,0.341760
0.800000,1.000000,0.000000,0.208598
0.800000,1.000000,0.700000,0.341760
1.600000,-0.500000,-0.700000,0.500000
1.600000,-0.500000,0.000000,0.500000
1.600000,-0.500000,0.700000,0.500000
1.600000,0.000000,-0.700000,0.412872
1.600000,0.000000,0.000000,0.279430
1.600000,0.000000,0.700000,0.450711
1.600000,0.500000,-0.700000,0.460311
1.600000,0.500000,0.000000,0.194156
1.600000,0.500000,0.700000,0.411405
1.600000,1.000000,-0.700000,0.758689
1.600000,1.000000,0.000000,0.464773
1.600000,1.000000,0.700000,0.776586
2.400000,-0.500000,-0.700000,0.500000
2.400000,-0.500000,0.000000,0.247496
2.400000,-0.500000,0.700000,0.500000
2.400000,0.000000,-0.700000,0.389783
2.400000,0.000000,0.000000,-0.041572
2.400000,0.000000,0.700000,0.329578
2.400000,0.500000,-0.700000,0.212070
2.400000,0.500000,0.000000,-0.108487
2.400000,0.500000,0.700000,0.331205
2.400000,1.000000,-0.700000,0.590754
2.400000,1.000000,0.000000,0.177995
2.400000,1.000000,0.700000,0.552713
0.975988,-1.399957,-0.674912,-0.399957
-1.937525,1.445885,0.530098,0.565885
2.745257,-1.152245,-0.234235,-0.152245
-3.291419,-0.625448,0.016066,0.374552
-3.314248,-0.704649,0.449653,0.295351
0.314590,-0.618238,0.267797,0.381762
2.166013,-1.474005,0.917458,-0.474005
1.386976,-0.138998,-1.033562,0.457639
3.200492,-0.153622,-1.221762,0.846378
-2.822985,1.889977,0.311178,1.032553
2.149898,1.418927,0.108684,0.483958
3.311810,0.014138,0.156122,0.719259
2.305833,0.974079,1.085121,0.793713
0.541465,1.318287,-1.362527,0.776180
-1.904712,-0.342448,-1.260624,0.657552
-1.870464,-1.095994,-0.666079,-0.095994
0.949791,-0.040671,-0.389457,-0.229226
-2.033451,-0.432089,1.309964,0.132402
1.036248,0.936524,-0.986584,0.519398
1.603888,-0.846390,-0.361634,0.153610
1.081652,0.156950,-0.073065,-0.131525
0.642094,-0.170952,-0.600288,-0.096753
-0.344050,-0.189017,1.160208,0.005115
0.633859,0.255439,-0.657107,-0.108628
0.838077,-0.135120,-0.433728,-0.145511
-0.794675,0.184586,-0.465877,-0.147514
-0.670926,0.597538,0.594205,0.055602
0.612659,-0.290351,0.581984,0.013178
0.249118,-0.336472,-0.896691,0.041949
1.017166,0.571078,-0.029642,0.085604
1.711481,0.520722,0.181710,0.177698
2.236970,0.066825,0.140962,-0.140836
1.811552,0.234765,-0.046276,-0.063058
2.653816,0.675853,-0.236611,0.218558
2.200586,-0.021348,0.412628,0.143669
2.570519,0.098445,0.138949,0.064102
2.308970,-0.047161,0.262511,0.030514
2.239379,0.578626,0.030354,-0.182999
-2.499428,0.024156,0.019477,-0.180572
-1.570901,0.578722,0.831666,-0.187743
-2.192486,-0.242075,0.878010,-0.237925
-1.553051,-0.214347,0.485990,-0.233051
-2.430787,0.460602,0.765834,-0.135714
-2.371609,0.175282,0.549804,-0.053115
-2.234943,0.572433,0.423138,0.225031
-2.288202,0.239296,0.729931,-0.079541
