zone,Atlanta,Chicago,Dallas,Denver,Los_Angeles,Miami,New_York,Phoenix,Seattle,Minneapolis
Z00,3,14,18,20,22,8,11,19,24,16
Z01,15,3,16,12,19,18,8,21,14,5
Z02,18,16,3,9,11,20,21,7,15,18
Z03,20,11,9,3,12,22,19,10,11,8
Z04,23,20,12,11,3,25,24,5,10,19
Z05,7,19,15,22,24,3,13,20,25,21
Z06,12,7,20,18,23,14,3,22,17,9
Z07,19,21,8,14,6,23,24,3,13,20
Z08,24,15,17,10,11,25,18,14,3,9
Z09,16,5,14,8,17,19,11,18,12,3
Z10,5,16,13,21,20,6,14,17,23,18
Z11,17,9,19,15,22,20,4,23,16,7
Z12,21,18,5,7,14,23,22,9,16,17
Z13,14,12,17,19,25,11,6,24,20,13
Z14,22,14,11,4,8,24,21,6,10,15
