temperature_K,total_conversion
400.0000,0.00000000
400.2501,0.00029744
400.5003,0.00198816
400.7504,0.00367960
401.0005,0.00000000
401.2506,0.00000000
401.5008,0.00213219
401.7509,0.00079171
402.0010,0.00000000
402.2511,0.00000000
402.5013,0.00000000
402.7514,0.00009513
403.0015,0.00265631
403.2516,0.00510977
403.5018,0.00000000
403.7519,0.00000000
404.0020,0.00000000
404.2521,0.00117649
404.5023,0.00059045
404.7524,0.00317401
405.0025,0.00093422
405.2526,0.00000000
405.5028,0.00272661
405.7529,0.00168059
406.0030,0.00103877
406.2531,0.00079164
406.5033,0.00000000
406.7534,0.00000000
407.0035,0.00000000
407.2536,0.00000000
407.5038,0.00125879
407.7539,0.00166547
408.0040,0.00000000
408.2541,0.00000000
408.5043,0.00003783
408.7544,0.00000000
409.0045,0.00492498
409.2546,0.00000000
409.5048,0.00005399
409.7549,0.00000000
410.0050,0.00275090
410.2551,0.00000000
410.5053,0.00000393
410.7554,0.00416546
411.0055,0.00197830
411.2556,0.00000000
411.5058,0.00000000
411.7559,0.00000000
412.0060,0.00321306
412.2561,0.00246922
412.5063,0.00095281
412.7564,0.00226710
413.0065,0.00243359
413.2566,0.00101592
413.5068,0.00116263
413.7569,0.00000000
414.0070,0.00000000
414.2571,0.00125449
414.5073,0.00323862
414.7574,0.00000000
415.0075,0.00000000
415.2576,0.00000000
415.5078,0.00000000
415.7579,0.00161227
416.0080,0.00002443
416.2581,0.00291165
416.5083,0.00141082
416.7584,0.00000000
417.0085,0.00103804
417.2586,0.00000000
417.5088,0.00156561
417.7589,0.00155328
418.0090,0.00235978
418.2591,0.00000000
418.5093,0.00000000
418.7594,0.00000000
419.0095,0.00027316
419.2596,0.00000000
419.5098,0.00253693
419.7599,0.00000000
420.0100,0.00000000
420.2601,0.00000000
420.5103,0.00000000
420.7604,0.00000000
421.0105,0.00000000
421.2606,0.00000000
421.5108,0.00184461
421.7609,0.00000000
422.0110,0.00000000
422.2611,0.00168885
422.5113,0.00000000
422.7614,0.00213275
423.0115,0.00030200
423.2616,0.00000000
423.5118,0.00000000
423.7619,0.00213713
424.0120,0.00171795
424.2621,0.00000000
424.5123,0.00000000
424.7624,0.00036923
425.0125,0.00286742
425.2626,0.00117379
425.5128,0.00000000
425.7629,0.00119176
426.0130,0.00447341
426.2631,0.00085119
426.5133,0.00152009
426.7634,0.00012526
427.0135,0.00281115
427.2636,0.00178907
427.5138,0.00303375
427.7639,0.00015030
428.0140,0.00122918
428.2641,0.00000000
428.5143,0.00093509
428.7644,0.00000000
429.0145,0.00000000
429.2646,0.00051028
429.5148,0.00000000
429.7649,0.00000000
430.0150,0.00285280
430.2651,0.00012884
430.5153,0.00000000
430.7654,0.00000000
431.0155,0.00233461
431.2656,0.00106799
431.5158,0.00000000
431.7659,0.00000000
432.0160,0.00343706
432.2661,0.00148708
432.5163,0.00180124
432.7664,0.00000000
433.0165,0.00294183
433.2666,0.00000000
433.5168,0.00194446
433.7669,0.00159017
434.0170,0.00000000
434.2671,0.00325244
434.5173,0.00286061
434.7674,0.00296527
435.0175,0.00000000
435.2676,0.00222637
435.5178,0.00000000
435.7679,0.00165918
436.0180,0.00035590
436.2681,0.00000000
436.5183,0.00325385
436.7684,0.00316120
437.0185,0.00000000
437.2686,0.00229252
437.5188,0.00000000
437.7689,0.00000000
438.0190,0.00344007
438.2691,0.00480273
438.5193,0.00000000
438.7694,0.00218507
439.0195,0.00224374
439.2696,0.00287135
439.5198,0.00000000
439.7699,0.00000000
440.0200,0.00000000
440.2701,0.00254137
440.5203,0.00309101
440.7704,0.00157605
441.0205,0.00115158
441.2706,0.00309743
441.5208,0.00071922
441.7709,0.00357391
442.0210,0.00376150
442.2711,0.00162598
442.5213,0.00486609
442.7714,0.00599133
443.0215,0.00000000
443.2716,0.00159499
443.5218,0.00239435
443.7719,0.00491299
444.0220,0.00220231
444.2721,0.00000000
444.5223,0.00339676
444.7724,0.00328278
445.0225,0.00244112
445.2726,0.00000000
445.5228,0.00021825
445.7729,0.00047892
446.0230,0.00620339
446.2731,0.00000000
446.5233,0.00182719
446.7734,0.00329763
447.0235,0.00204248
447.2736,0.00222364
447.5238,0.00070173
447.7739,0.00163005
448.0240,0.00000000
448.2741,0.00193464
448.5243,0.00000000
448.7744,0.00087780
449.0245,0.00279991
449.2746,0.00471395
449.5248,0.00241305
449.7749,0.00400363
450.0250,0.00000000
450.2751,0.00543753
450.5253,0.00323475
450.7754,0.00264236
451.0255,0.00437280
451.2756,0.00368158
451.5258,0.00242242
451.7759,0.00574895
452.0260,0.00658840
452.2761,0.00438254
452.5263,0.00765541
452.7764,0.00427669
453.0265,0.00301190
453.2766,0.00273053
453.5268,0.00319467
453.7769,0.00770989
454.0270,0.00374998
454.2771,0.00431265
454.5273,0.00445549
454.7774,0.00732326
455.0275,0.00411283
455.2776,0.00523213
455.5278,0.00578611
455.7779,0.00748117
456.0280,0.00205556
456.2781,0.00734966
456.5283,0.00804431
456.7784,0.00460160
457.0285,0.00561894
457.2786,0.00661942
457.5288,0.00592402
457.7789,0.00479755
458.0290,0.00817640
458.2791,0.00687926
458.5293,0.00671999
458.7794,0.00394000
459.0295,0.00993993
459.2796,0.00762918
459.5298,0.00596659
459.7799,0.00644207
460.0300,0.01071683
460.2801,0.00932879
460.5303,0.00969671
460.7804,0.01062024
461.0305,0.00902877
461.2806,0.00787788
461.5308,0.00858901
461.7809,0.00904269
462.0310,0.00946514
462.2811,0.01162420
462.5313,0.01280807
462.7814,0.00856362
463.0315,0.01056137
463.2816,0.01012724
463.5318,0.01220204
463.7819,0.01444866
464.0320,0.01523692
464.2821,0.01331321
464.5323,0.01590925
464.7824,0.01541323
465.0325,0.01493462
465.2826,0.01297589
465.5328,0.01237660
465.7829,0.01346581
466.0330,0.01462053
466.2831,0.01274712
466.5333,0.01303708
466.7834,0.01693173
467.0335,0.01646878
467.2836,0.01606174
467.5338,0.01352540
467.7839,0.01494146
468.0340,0.01647232
468.2841,0.01741310
468.5343,0.02001403
468.7844,0.01929347
469.0345,0.01929032
469.2846,0.02377191
469.5348,0.02078045
469.7849,0.01990498
470.0350,0.02286056
470.2851,0.01751574
470.5353,0.02277112
470.7854,0.02480990
471.0355,0.02472978
471.2856,0.02199960
471.5358,0.02590717
471.7859,0.02092330
472.0360,0.02569299
472.2861,0.02622689
472.5363,0.02350096
472.7864,0.02434820
473.0365,0.02424252
473.2866,0.02663588
473.5368,0.02570405
473.7869,0.02930321
474.0370,0.02948902
474.2871,0.02794108
474.5373,0.02913585
474.7874,0.02863701
475.0375,0.02887935
475.2876,0.03173416
475.5378,0.03365331
475.7879,0.03384642
476.0380,0.03179623
476.2881,0.03161237
476.5383,0.03256167
476.7884,0.03737538
477.0385,0.03581164
477.2886,0.03721855
477.5388,0.03823027
477.7889,0.03861561
478.0390,0.03893444
478.2891,0.04337859
478.5393,0.04156051
478.7894,0.04352632
479.0395,0.04070628
479.2896,0.04668343
479.5398,0.04619663
479.7899,0.04551961
480.0400,0.04631278
480.2901,0.04859239
480.5403,0.04857707
480.7904,0.05023484
481.0405,0.04863968
481.2906,0.04945573
481.5408,0.05329030
481.7909,0.05302789
482.0410,0.05546449
482.2911,0.05622972
482.5413,0.05718110
482.7914,0.05932532
483.0415,0.05872302
483.2916,0.05733283
483.5418,0.06085391
483.7919,0.06339095
484.0420,0.06489412
484.2921,0.06276434
484.5423,0.06116035
484.7924,0.06834783
485.0425,0.06871415
485.2926,0.06941800
485.5428,0.07156427
485.7929,0.07320581
486.0430,0.06998250
486.2931,0.07595056
486.5433,0.07697662
486.7934,0.07955282
487.0435,0.07898952
487.2936,0.08179017
487.5438,0.08389912
487.7939,0.08190429
488.0440,0.08813347
488.2941,0.08627383
488.5443,0.08766934
488.7944,0.08921296
489.0445,0.09326395
489.2946,0.09188454
489.5448,0.09847111
489.7949,0.09930206
490.0450,0.09720988
490.2951,0.10035840
490.5453,0.10558985
490.7954,0.10246471
491.0455,0.10461873
491.2956,0.11298225
491.5458,0.11150000
491.7959,0.10755550
492.0460,0.11345348
492.2961,0.11728395
492.5463,0.11925054
492.7964,0.11776496
493.0465,0.12306244
493.2966,0.12361593
493.5468,0.12663012
493.7969,0.12555133
494.0470,0.13354881
494.2971,0.13121860
494.5473,0.13768485
494.7974,0.13393039
495.0475,0.14144970
495.2976,0.14165514
495.5478,0.14433568
495.7979,0.14707344
496.0480,0.15030674
496.2981,0.15066404
496.5483,0.15907111
496.7984,0.15454551
497.0485,0.16102489
497.2986,0.16314051
497.5488,0.16652066
497.7989,0.16985502
498.0490,0.17026909
498.2991,0.17275752
498.5493,0.17398582
498.7994,0.17671490
499.0495,0.17910737
499.2996,0.18579279
499.5498,0.18617139
499.7999,0.19111258
500.0500,0.19543454
500.3002,0.19703515
500.5503,0.19592931
500.8004,0.20038567
501.0505,0.20715630
501.3007,0.20755726
501.5508,0.21144932
501.8009,0.21595606
502.0510,0.22064080
502.3012,0.22311459
502.5513,0.22286143
502.8014,0.22658972
503.0515,0.23182007
503.3017,0.23461454
503.5518,0.23560741
503.8019,0.23987739
504.0520,0.24442015
504.3022,0.24537596
504.5523,0.25400582
504.8024,0.25697984
505.0525,0.26140951
505.3027,0.26081779
505.5528,0.26412336
505.8029,0.27247731
506.0530,0.27013515
506.3032,0.27480730
506.5533,0.28184471
506.8034,0.27995121
507.0535,0.28584867
507.3037,0.29183635
507.5538,0.29673606
507.8039,0.29733094
508.0540,0.30031672
508.3042,0.30274763
508.5543,0.30932180
508.8044,0.31283849
509.0545,0.31803639
509.3047,0.31740898
509.5548,0.32450803
509.8049,0.32671896
510.0550,0.33197165
510.3052,0.33740786
510.5553,0.34046447
510.8054,0.34659375
511.0555,0.34981285
511.3057,0.35446221
511.5558,0.35346470
511.8059,0.36266249
512.0560,0.36445757
512.3062,0.36469663
512.5563,0.37114905
512.8064,0.37413040
513.0565,0.37727778
513.3067,0.38416226
513.5568,0.38785832
513.8069,0.38906546
514.0570,0.39312777
514.3072,0.39699805
514.5573,0.40128039
514.8074,0.40677404
515.0575,0.40944943
515.3077,0.41408616
515.5578,0.41777614
515.8079,0.41907529
516.0580,0.42725273
516.3082,0.42875715
516.5583,0.43374377
516.8084,0.43402769
517.0585,0.44140156
517.3087,0.44263248
517.5588,0.44474180
517.8089,0.45098540
518.0590,0.45242482
518.3092,0.45532487
518.5593,0.45922171
518.8094,0.46725710
519.0595,0.46787646
519.3097,0.47148920
519.5598,0.47056448
