observation_date,CPIAUCNS
2020-01-01,257.971
2020-02-01,258.678
2020-03-01,258.115
2020-04-01,256.389
2020-05-01,256.394
2020-06-01,257.797
2020-07-01,259.101
2020-08-01,259.918
2020-09-01,260.280
2020-10-01,260.388
2020-11-01,260.229
2020-12-01,260.474
2021-01-01,261.582
2021-02-01,263.014
2021-03-01,264.877
2021-04-01,267.054
2021-05-01,269.195
2021-06-01,271.696
2021-07-01,273.003
2021-08-01,273.567
2021-09-01,274.310
2021-10-01,276.589
2021-11-01,277.948
2021-12-01,278.802
2022-01-01,281.148
2022-02-01,283.716
2022-03-01,287.504
2022-04-01,289.109
2022-05-01,292.296
2022-06-01,296.311
2022-07-01,296.276
2022-08-01,296.171
2022-09-01,296.808
2022-10-01,298.012
2022-11-01,297.711
2022-12-01,296.797
2023-01-01,299.170
2023-02-01,300.840
2023-03-01,301.836
2023-04-01,303.363
2023-05-01,304.127
2023-06-01,305.109
2023-07-01,305.691
2023-08-01,307.026
2023-09-01,307.789
2023-10-01,307.671
2023-11-01,307.051
2023-12-01,306.746
2024-01-01,308.417
2024-02-01,310.326
2024-03-01,312.332
2024-04-01,313.548
2024-05-01,314.069
2024-06-01,314.175
2024-07-01,314.540
2024-08-01,314.796
2024-09-01,315.301
2024-10-01,315.664
2024-11-01,315.493
2024-12-01,315.605
