Model,Type,Agent,Date,Pass@1,Pass@3,Pass^3,# Turns
Gemini-3.5-Flash ✓,Proprietary,Default,2026-05-19,56.5 ± 2.7,68.5,43.5,44.7
GPT-5.5-xhigh,Proprietary,Default,2026-04-24,55.6,--,--,--
GPT-5.4-xhigh,Proprietary,Default,2026-03-06,54.6,--,--,--
DeepSeek-V4-Pro Max ✓,Open-Source,Default,2026-04-25,52.8 ± 1.9,63.9,38.9,24.1
Claude-Opus-4.7 ✓,Proprietary,Default,2026-04-25,52.8 †,--,--,16.2
GPT-5.3-Codex-xhigh,Proprietary,Default,2026-03-06,51.9,--,--,--
Kimi-K2.6,Open-Source,Default,2026-04-21,50.0,--,--,--
Gemini-3-Flash ✓,Proprietary,Default,2025-12-18,49.4 ± 0.4,59.3,36.1,28.6
Gemini-3.1-Pro ✓,Proprietary,Default,2026-03-13,48.8 ± 2.3,62.0,34.3,27.9
DeepSeek-V4-Flash Max ✓,Open-Source,Default,2026-04-25,48.2 ± 0.9,57.4,37.0,26.1
Claude-Opus-4.6 ✓,Proprietary,Claude Agent SDK,2026-03-06,47.2 †,--,--,--
MiniMax-M2.7,Open-Source,Default,2026-03-18,46.3,--,--,--
Claude-Sonnet-4.6 ✓,Proprietary,Default,2026-02-23,44.8 ± 2.9,59.3,30.6,23.4
GPT-5.2-xhigh ✓ ‡,Proprietary,Default,2025-12-18,43.8 ± 1.2,50.9,33.3,28.2
Claude-Opus-4.5 ✓,Proprietary,Default,2025-11-27,43.5 ± 0.8,57.4,30.6,18.7
GPT-5.4-mini-xhigh,Proprietary,Default,2026-03-17,42.9,--,--,--
GPT-5.2-high ✓ ‡,Proprietary,Default,2025-12-17,41.7 ± 1.3,54.6,28.7,23.9
MiniMax-M2.1 ✓,Open-Source,Default,2025-12-25,40.7 ± 0.8,51.9,27.8,17.8
GLM-5.1,Open-Source,Default,2026-04-07,40.7,--,--,--
Qwen3.6-Plus,Proprietary,Default,2026-04-02,39.8,--,--,--
GLM-5 ✓,Open-Source,Default,2026-02-13,39.2 ± 1.2,51.9,25.9,16.5
Claude-Sonnet-4.5 ✓,Proprietary,Default,2025-10-28,38.9 ± 3.0,52.8,20.4,20.2
MiniMax-M2.5,Open-Source,Default,2026-03-18,38.3,--,--,--
Qwen3.5-397B-A17B,Open-Source,Default,2026-04-02,38.3,--,--,--
GPT-5-high ✓ ‡,Proprietary,Default,2025-12-17,37.7 ± 1.2,50.9,19.4,25.7
Qwen3.5-Plus ✓,Open-Source,Default,2026-02-21,37.7 ± 1.2,49.1,25.9,17.4
GPT-5.1-high ✓ ‡,Proprietary,Default,2025-12-17,37.0 ± 2.7,50.0,20.4,19.0
Gemini-3-Pro ✓,Proprietary,Default,2025-11-22,36.4 ± 0.4,48.1,23.1,19.0
GPT-5.4-nano-xhigh,Proprietary,Default,2026-03-17,35.5,--,--,--
DeepSeek-V3.2-Thinking ✓,Open-Source,Default,2025-12-01,35.2 ± 0.8,54.6,16.7,43.7
Qwen3.5-27B,Open-Source,Default,2026-04-17,31.5,--,--,--
Claude-Sonnet-4 ✓,Proprietary,Default,2025-10-28,29.9 ± 1.6,41.7,17.6,27.3
Qwen3.5-35BA3B,Open-Source,Default,2026-04-17,28.7,--,--,--
Kimi-K2.5 ✓,Open-Source,Default,2026-02-04,27.8 ± 0.8,38.9,14.8,17.2
Grok-4 ✓,Proprietary,Default,2025-10-28,27.5 ± 1.7,38.9,16.7,20.3
Qwen3.6-35BA3B,Open-Source,Default,2026-04-17,26.9,--,--,--
Claude-Haiku-4.5 ✓,Proprietary,Default,2025-10-28,26.2 ± 1.9,39.8,13.0,21.9
GLM-4.7 ✓,Open-Source,Default,2025-12-25,23.8 ± 1.2,36.1,10.2,27.8
DeepSeek-V3.2-Exp ✓,Open-Source,Default,2025-10-28,20.1 ± 1.2,27.8,12.0,26.0
GLM-4.6 ✓,Open-Source,Default,2025-10-28,18.8 ± 2.2,29.6,9.3,27.9
Grok-Code-Fast-1 ✓,Proprietary,Default,2025-10-28,18.5 ± 2.0,30.6,9.3,20.2
Grok-4-Fast ✓,Proprietary,Default,2025-10-28,18.5 ± 2.0,32.4,5.6,15.9
Kimi-K2-thinking ✓,Open-Source,Default,2025-11-22,17.6 ± 2.0,29.6,4.6,24.4
o3 ✓,Proprietary,Default,2025-10-28,17.0 ± 0.9,25.0,9.3,19.4
o4-mini ✓,Proprietary,Default,2025-10-28,14.8 ± 0.8,26.9,3.7,16.6
GPT-5-mini ✓,Proprietary,Default,2025-10-28,14.5 ± 1.2,23.1,5.6,19.7
Qwen-3-Coder ✓,Open-Source,Default,2025-10-28,14.5 ± 1.9,21.3,6.5,28.5
Gemini-3.1-Flash-Lite ✓,Proprietary,Default,2026-03-13,14.2 ± 1.2,20.4,7.4,31.2
Kimi-K2-0905 ✓,Open-Source,Default,2025-10-28,13.0 ± 2.0,22.2,5.6,26.6
Gemini-2.5-Pro ✓,Proprietary,Default,2025-10-28,10.5 ± 1.9,21.3,2.8,26.5
Gemini-2.5-Flash ✓,Proprietary,Default,2025-10-28,3.7 ± 1.5,8.3,0.0,8.3
