Model,Type,Agent,Date,Pass@1,Pass@3,Pass^3,# Turns,# Tool Calls
Kimi K3 (max) ✓,Open-Weights,Default,2026-07-16,76.5 ± 1.9,83.3,68.5,22.8,39.1
Claude Opus 4.8 (max) ✓,Proprietary,Default,2026-06-30,76.2 ± 3.4,84.3,66.7,19.9,36.3
Muse Spark 1.2 (xhigh) ✓,Proprietary,Default,2026-08-05,75.9 ± 1.3,87.0,63.0,44.2,48.6
Muse Spark 1.1 (xhigh) ✓,Proprietary,Default,2026-07-09,75.6 ± 0.4,86.1,63.9,28.9,42.7
GPT-5.5 (xhigh) ✓,Proprietary,Default,2026-06-30,73.5 ± 1.2,82.4,62.0,24.4,37.8
Claude Sonnet 5 (max) ✓,Proprietary,Default,2026-07-01,71.6 ± 1.2,83.3,53.7,27.1,51.5
DeepSeek V4 Flash 0731 (max) ✓,Open-Weights,Default,2026-07-31,70.7 ± 0.9,81.5,58.3,26.3,49.0
Gemini 3.5 Flash (high) ✓,Proprietary,Default,2026-06-30,67.3 ± 1.2,79.6,53.7,45.3,45.6
Gemini 3.1 Pro (high) ✓,Proprietary,Default,2026-07-01,61.1 ± 1.3,72.2,48.1,26.2,32.2
GLM 5.2 (max) ✓,Open-Weights,Default,2026-06-30,59.9 ± 1.9,78.7,41.7,23.3,41.9
Kimi K2.6 ✓,Open-Weights,Default,2026-07-15,58.0 ± 4.9,72.2,41.7,30.8,42.3
Kimi K2.7 Code ✓,Open-Weights,Default,2026-06-30,58.0 ± 4.3,74.1,41.7,23.1,37.6
Gemini 3.5 Flash-Lite (high) ✓,Proprietary,Default,2026-07-30,57.1 ± 3.6,71.3,41.7,37.9,38.3
Hy3 (high) ✓,Open-Weights,Default,2026-07-30,56.8 ± 3.7,72.2,40.7,20.5,37.9
DeepSeek V4 Pro (max) ✓,Open-Weights,Default,2026-06-30,55.9 ± 1.2,68.5,41.7,23.6,39.1
Inkling-Small (xhigh) ✓,Open-Weights,Default,2026-07-30,54.4 ± 3.2,66.9,38.4,48.4,46.9
DeepSeek V4 Flash (max) ✓,Open-Weights,Default,2026-07-30,50.9 ± 1.5,63.9,35.2,28.6,47.1
MiMo V2.5 ✓,Open-Weights,Default,2026-07-30,49.1 ± 3.9,65.7,30.6,23.2,38.5
MiniMax M2.7 ✓,Open-Weights,Default,2026-07-30,47.5 ± 3.8,62.0,32.4,24.6,43.2
Inkling (xhigh) ✓,Open-Weights,Default,2026-07-15,45.5 ± 3.7,63.8,25.5,47.3,50.2
Qwen3.5 397B-A17B ✓,Open-Weights,Default,2026-07-30,40.7 ± 2.0,51.9,27.8,19.5,35.7
Nemotron 3 Ultra ✓,Open-Weights,Default,2026-07-15,34.3 ± 1.5,50.0,19.4,28.6,31.9
Kimi K2.5 ✓,Open-Weights,Default,2026-07-15,33.0 ± 1.2,50.9,15.7,20.3,31.3
