expiry_days,strike,option_type,mid_price,underlying_price,risk_free_rate,dividend_yield
30,4000,call,1009.9443,5000.0,0.045,0.015
30,4000,put,1.3376,5000.0,0.045,0.015
30,4200,call,812.3939,5000.0,0.045,0.015
30,4200,put,3.0490,5000.0,0.045,0.015
30,4400,call,616.9696,5000.0,0.045,0.015
30,4400,put,6.8863,5000.0,0.045,0.015
30,4500,call,520.8267,5000.0,0.045,0.015
30,4500,put,10.3742,5000.0,0.045,0.015
30,4600,call,426.5509,5000.0,0.045,0.015
30,4600,put,15.7292,5000.0,0.045,0.015
30,4700,call,335.3151,5000.0,0.045,0.015
30,4700,put,24.1242,5000.0,0.045,0.015
30,4800,call,249.1999,5000.0,0.045,0.015
30,4800,put,37.6399,5000.0,0.045,0.015
30,4900,call,171.7978,5000.0,0.045,0.015
30,4900,put,59.8685,5000.0,0.045,0.015
30,5000,call,108.2209,5000.0,0.045,0.015
30,5000,put,95.9225,5000.0,0.045,0.015
30,5100,call,62.5582,5000.0,0.045,0.015
30,5100,put,149.8906,5000.0,0.045,0.015
30,5200,call,34.0887,5000.0,0.045,0.015
30,5200,put,221.0519,5000.0,0.045,0.015
30,5300,call,18.0583,5000.0,0.045,0.015
30,5300,put,304.6524,5000.0,0.045,0.015
30,5400,call,9.4957,5000.0,0.045,0.015
30,5400,put,395.7206,5000.0,0.045,0.015
30,5500,call,5.0107,5000.0,0.045,0.015
30,5500,put,490.8664,5000.0,0.045,0.015
30,5600,call,2.6670,5000.0,0.045,0.015
30,5600,put,588.1535,5000.0,0.045,0.015
30,5800,call,0.7809,5000.0,0.045,0.015
30,5800,put,785.5291,5000.0,0.045,0.015
30,6000,put,984.2493,5000.0,0.045,0.015
90,4000,call,1027.1570,5000.0,0.045,0.015
90,4000,put,1.4778,5000.0,0.045,0.015
90,4200,call,831.6274,5000.0,0.045,0.015
90,4200,put,3.7413,5000.0,0.045,0.015
90,4400,call,639.2995,5000.0,0.045,0.015
90,4400,put,9.2064,5000.0,0.045,0.015
90,4500,call,545.5127,5000.0,0.045,0.015
90,4500,put,14.3162,5000.0,0.045,0.015
90,4600,call,454.4480,5000.0,0.045,0.015
90,4600,put,22.1480,5000.0,0.045,0.015
90,4700,call,367.4851,5000.0,0.045,0.015
90,4700,put,34.0817,5000.0,0.045,0.015
90,4800,call,286.5830,5000.0,0.045,0.015
90,4800,put,52.0761,5000.0,0.045,0.015
90,4900,call,214.2585,5000.0,0.045,0.015
90,4900,put,78.6482,5000.0,0.045,0.015
90,5000,call,153.1191,5000.0,0.045,0.015
90,5000,put,116.4053,5000.0,0.045,0.015
90,5100,call,104.8350,5000.0,0.045,0.015
90,5100,put,167.0177,5000.0,0.045,0.015
90,5200,call,69.2399,5000.0,0.045,0.015
90,5200,put,230.3192,5000.0,0.045,0.015
90,5300,call,44.4902,5000.0,0.045,0.015
90,5300,put,304.4660,5000.0,0.045,0.015
90,5400,call,28.0237,5000.0,0.045,0.015
90,5400,put,386.8961,5000.0,0.045,0.015
90,5500,call,17.4067,5000.0,0.045,0.015
90,5500,put,475.1757,5000.0,0.045,0.015
90,5600,call,10.7096,5000.0,0.045,0.015
90,5600,put,567.3751,5000.0,0.045,0.015
90,5800,call,3.9895,5000.0,0.045,0.015
90,5800,put,758.4481,5000.0,0.045,0.015
90,6000,call,1.4753,5000.0,0.045,0.015
90,6000,put,953.7270,5000.0,0.045,0.015
180,4000,call,1054.1718,5000.0,0.045,0.015
180,4000,put,3.2322,5000.0,0.045,0.015
180,4200,call,863.2064,5000.0,0.045,0.015
180,4200,put,7.8774,5000.0,0.045,0.015
180,4400,call,677.7817,5000.0,0.045,0.015
180,4400,put,18.0632,5000.0,0.045,0.015
180,4500,call,588.6470,5000.0,0.045,0.015
180,4500,put,26.7338,5000.0,0.045,0.015
180,4600,call,503.0616,5000.0,0.045,0.015
180,4600,put,38.9536,5000.0,0.045,0.015
180,4700,call,422.1490,5000.0,0.045,0.015
180,4700,put,55.8463,5000.0,0.045,0.015
180,4800,call,347.1926,5000.0,0.045,0.015
180,4800,put,78.6951,5000.0,0.045,0.015
180,4900,call,279.5128,5000.0,0.045,0.015
180,4900,put,108.8206,5000.0,0.045,0.015
180,5000,call,220.2386,5000.0,0.045,0.015
180,5000,put,147.3517,5000.0,0.045,0.015
180,5100,call,170.0240,5000.0,0.045,0.015
180,5100,put,194.9424,5000.0,0.045,0.015
180,5200,call,128.8585,5000.0,0.045,0.015
180,5200,put,251.5821,5000.0,0.045,0.015
180,5300,call,96.0985,5000.0,0.045,0.015
180,5300,put,316.6274,5000.0,0.045,0.015
180,5400,call,70.6808,5000.0,0.045,0.015
180,5400,put,389.0149,5000.0,0.045,0.015
180,5500,call,51.3733,5000.0,0.045,0.015
180,5500,put,467.5127,5000.0,0.045,0.015
180,5600,call,36.9640,5000.0,0.045,0.015
180,5600,put,550.9087,5000.0,0.045,0.015
180,5800,call,18.6735,5000.0,0.045,0.015
180,5800,put,728.2287,5000.0,0.045,0.015
180,6000,call,9.2046,5000.0,0.045,0.015
180,6000,put,914.3703,5000.0,0.045,0.015
365,4000,call,1111.7431,5000.0,0.045,0.015
365,4000,put,10.1733,5000.0,0.045,0.015
365,4200,call,931.1724,5000.0,0.045,0.015
365,4200,put,20.8021,5000.0,0.045,0.015
365,4400,call,758.8712,5000.0,0.045,0.015
365,4400,put,39.7005,5000.0,0.045,0.015
365,4500,call,677.0841,5000.0,0.045,0.015
365,4500,put,53.5131,5000.0,0.045,0.015
365,4600,call,598.9724,5000.0,0.045,0.015
365,4600,put,71.0011,5000.0,0.045,0.015
365,4700,call,525.1350,5000.0,0.045,0.015
365,4700,put,92.7634,5000.0,0.045,0.015
365,4800,call,456.1519,5000.0,0.045,0.015
365,4800,put,119.3801,5000.0,0.045,0.015
365,4900,call,392.5398,5000.0,0.045,0.015
365,4900,put,151.3677,5000.0,0.045,0.015
365,5000,call,334.6994,5000.0,0.045,0.015
365,5000,put,189.1271,5000.0,0.045,0.015
365,5100,call,282.8656,5000.0,0.045,0.015
365,5100,put,232.8931,5000.0,0.045,0.015
365,5200,call,237.0754,5000.0,0.045,0.015
365,5200,put,282.7026,5000.0,0.045,0.015
365,5300,call,197.1678,5000.0,0.045,0.015
365,5300,put,338.3948,5000.0,0.045,0.015
365,5400,call,162.8152,5000.0,0.045,0.015
365,5400,put,399.6419,5000.0,0.045,0.015
365,5500,call,133.5722,5000.0,0.045,0.015
365,5500,put,465.9986,5000.0,0.045,0.015
365,5600,call,108.9262,5000.0,0.045,0.015
365,5600,put,536.9524,5000.0,0.045,0.015
365,5800,call,71.2845,5000.0,0.045,0.015
365,5800,put,690.5102,5000.0,0.045,0.015
365,6000,call,45.7963,5000.0,0.045,0.015
365,6000,put,856.2215,5000.0,0.045,0.015
730,4000,call,1223.8143,5000.0,0.045,0.015
730,4000,put,27.3114,5000.0,0.045,0.015
730,4200,call,1059.8167,5000.0,0.045,0.015
730,4200,put,46.1000,5000.0,0.045,0.015
730,4400,call,904.6800,5000.0,0.045,0.015
730,4400,put,73.7495,5000.0,0.045,0.015
730,4500,call,831.1191,5000.0,0.045,0.015
730,4500,put,91.5818,5000.0,0.045,0.015
730,4600,call,760.5806,5000.0,0.045,0.015
730,4600,put,112.4364,5000.0,0.045,0.015
730,4700,call,693.3058,5000.0,0.045,0.015
730,4700,put,136.5547,5000.0,0.045,0.015
730,4800,call,629.5094,5000.0,0.045,0.015
730,4800,put,164.1514,5000.0,0.045,0.015
730,4900,call,569.3714,5000.0,0.045,0.015
730,4900,put,195.4065,5000.0,0.045,0.015
730,5000,call,513.0292,5000.0,0.045,0.015
730,5000,put,230.4575,5000.0,0.045,0.015
730,5100,call,460.5701,5000.0,0.045,0.015
730,5100,put,269.3915,5000.0,0.045,0.015
730,5200,call,412.0259,5000.0,0.045,0.015
730,5200,put,312.2403,5000.0,0.045,0.015
730,5300,call,367.3707,5000.0,0.045,0.015
730,5300,put,358.9783,5000.0,0.045,0.015
730,5400,call,326.5240,5000.0,0.045,0.015
730,5400,put,409.5247,5000.0,0.045,0.015
730,5500,call,289.3571,5000.0,0.045,0.015
730,5500,put,463.7510,5000.0,0.045,0.015
730,5600,call,255.7030,5000.0,0.045,0.015
