omega,A33,B33,A39,B39,A93,B93,A99,B99,ModF3,PhaF3,ModF9,PhaF9
0.020000,1.988329E+03,1.660938E+00,-3.588350E+02,1.621013E-01,-3.596924E+02,1.614750E-01,8.999025E+03,1.492233E-02,2.854265E+02,0,2.782192E+01,0
0.040000,1.995850E+03,6.630074E+00,-3.594254E+02,6.205854E-01,-3.602111E+02,6.228979E-01,8.999254E+03,5.986702E-02,2.851341E+02,0,2.671048E+01,0
0.060000,2.005692E+03,1.486578E+01,-3.607578E+02,1.294214E+00,-3.614293E+02,1.322301E+00,8.999609E+03,1.128168E-01,2.846468E+02,0,2.481367E+01,0
0.080000,2.016863E+03,2.630200E+01,-3.629970E+02,2.050773E+00,-3.637684E+02,2.067146E+00,9.000121E+03,1.636774E-01,2.839583E+02,0,2.219164E+01,0
0.100000,2.028630E+03,4.084101E+01,-3.662621E+02,2.714735E+00,-3.670658E+02,2.706138E+00,9.000928E+03,1.806969E-01,2.830661E+02,0,1.887911E+01,0
0.120000,2.040447E+03,5.835526E+01,-3.706241E+02,3.073677E+00,-3.714216E+02,3.063792E+00,9.001874E+03,1.610314E-01,2.819671E+02,0,1.489972E+01,0
0.140000,2.051804E+03,7.869107E+01,-3.761073E+02,2.889546E+00,-3.769695E+02,2.889584E+00,9.003085E+03,1.080202E-01,2.806576E+02,0,1.031977E+01,0
0.160000,2.062261E+03,1.016692E+02,-3.826862E+02,1.910467E+00,-3.835150E+02,1.898302E+00,9.004567E+03,3.829177E-02,2.791375E+02,0,5.205359E+00,0
0.180000,2.071454E+03,1.270809E+02,-3.902721E+02,-1.178957E-01,-3.912869E+02,-1.532067E-01,9.006543E+03,1.022848E-03,2.774016E+02,0,3.108004E-01,-180
0.200000,2.079029E+03,1.546936E+02,-3.987233E+02,-3.438964E+00,-3.996987E+02,-3.493830E+00,9.008967E+03,7.738061E-02,2.754541E+02,0,6.227550E+00,-180
0.220000,2.084705E+03,1.842535E+02,-4.078375E+02,-8.274281E+00,-4.088796E+02,-8.345063E+00,9.011882E+03,4.013717E-01,2.732925E+02,0,1.239962E+01,-180
0.240000,2.088229E+03,2.154844E+02,-4.173710E+02,-1.480470E+01,-4.183672E+02,-1.490702E+01,9.015341E+03,1.020319E+00,2.709173E+02,0,1.873928E+01,-180
0.260000,2.089394E+03,2.480947E+02,-4.270360E+02,-2.317422E+01,-4.280404E+02,-2.329379E+01,9.019366E+03,2.172467E+00,2.683326E+02,0,2.518705E+01,-180
0.280000,2.088038E+03,2.817777E+02,-4.365178E+02,-3.346860E+01,-4.375684E+02,-3.362276E+01,9.023862E+03,4.008874E+00,2.655417E+02,0,3.169312E+01,-180
0.300000,2.084022E+03,3.162130E+02,-4.454706E+02,-4.570935E+01,-4.465759E+02,-4.589617E+01,9.028672E+03,6.631646E+00,2.625454E+02,1,3.811555E+01,-179
